Abraham,Accountability,Adoption,Agency,AllScriptureCount,America,Angel,Art,Articles of Faith,Atonement,Attitude,Authority,AuthorityMentions,BYU,Balance,Baptism,Bible,Blessing,BoM,Body,Book of Mormon,Brigham Young,Brotherhood,Calling,Character,Charity,Chastity,Children,Christianity,Christmas,Church,Citizenship,Comforter,Commandments,Commitment,Communication,Compassion,Conscience,Consecration,Contention,Conversion,Courage,Covenant,Creation,Creativity,D&C,Date,Decision,Dedication,Disciple,Discipline,Discourage,Divine,Doctrine,Doctrine and Covenants,Education,Esteem,Eternal Life,Eternity,Exaltation,Example,Excellent,Failure,Faith,Family,Family History,Fear,Fellowship,Finance,FirstPersonPronoun,FleschReading,Foreordination,Forgiveness,Freedom,Friendship,Gender,Gift,Giving,God,Gospel,Government,Gratitude,Growth,Habit,Happiness,Heal,Heavenly Father,Heritage,History,Holy Ghost,Home,Honesty,Honor,Hope,Humility,I am a woman,Improvement,Individual Worth,Initiative,Inspiration,Integrity,Jesus Christ,Joseph Smith,Joy,Kind,Knowledge,Language,Last Day,Law,Leadership,Learning,Life,Light,Light of Christ,Listen,Lonely,Love,Marriage,Media,Meekness,Membership,Men,Mercy,Miracle,Missionary,Mistake,Modesty,Morality,Mortality,Music,NT,Natural Man,OT,Obedience,Opportunity,Ordinance,Organization,Pageviews,Parent,Patience,Patriarchal Blessing,Patriotism,Peer Pressure,PercentInItalics,PercentInQuotes,Perfection,Perspective,Pioneer,Plan of Salvation,PoGP,Polarity,Politic,Potential,Power,Prayer,Premortal,Preparation,Prepare,Priesthood,Priority,Progression,Prophet,Question,Relationship,Religion,Religious Freedom,Remember,Repent,Responsibility,Restoration,Resurrection,Revelation,Reverence,Righteous,Sabbath,Sacrament,Sacred,Sacrifice,Safety,Salvation,Satan,Scripture,Second Coming,Self-Reliance,Selfless,Service,Socialism,Speech,Spirit,Spiritual Growth,Spirituality,Standard,Stewardship,StoryNames,Subjectivity,Success,Suffering,Talent,Talking Speed,Teaching,Technology,Temple,Tempt,Testimony,Thought,Time,Tithing,Tolerance,Trial,Trust,Truth,Understand,Unity,Value,Virtue,War,WeToYouRatio,Wisdom,Witness,Woman,WordCount,WordQuantity,Work,Worldly,Worship,Worthy,Zion
0,0,0,0,7,0,0,0,0,2,0,0,4,6,0,0,0,2,0,0,1,0,0,2,0,3,0,1,2,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,10,5,0,0,0,1,52,4.43,0,5,0,2,Male,0,4,9,4,0,1,0,0,3,2,0,0,3,0,5,1,0,3,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,1,1,22,2,0,0,0,8,4,0,0,0,3,0,2,2,7,0,0,0,0,4,0,2,2,0,0,0,7,0,0,0,0,0,0.08432075,0.072747313,0,0,0,0,0,0.12,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,11,4,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,/talks/Jeffery-r-holland_remember-lots-wife/,0,0,0,0,0,9,0.45,1,0,0,1.777179236,1,0,0,0,0,4,8,0,0,0,5,1,1,0,0,0,1,51.372,0,0,1,3629,1152,0,0,0,0,1
0,0,0,0,17,0,2,1,0,0,0,0,5,1,0,1,0,0,2,0,1,0,0,1,0,0,0,7,0,0,8,0,0,3,1,0,0,0,0,0,1,1,1,1,0,4,1,3,0,0,0,0,0,2,1,2,0,0,0,0,3,0,0,1,0,0,14,0,0,35,5.22,0,0,0,0,Male,0,4,25,2,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,3,4,0,2,0,1,0,2,0,0,9,8,0,0,0,6,5,0,0,0,4,0,2,6,0,0,0,0,0,2,1,2,0,2,0,0,5,0,2,0,0,0,0.088461538,0.104102564,0,0,0,0,7,0.15,0,0,10,2,0,0,0,0,0,0,5,4,1,0,0,4,0,0,2,1,24,0,2,0,0,2,0,1,1,8,2,0,0,0,2,0,/talks/Jeffrey-r-Holland_cast-not-away-therefore-your-confidence/,10,0,0,1,0,7,0.51,0,0,0,1.864244742,3,0,1,2,2,5,8,0,0,0,1,3,1,0,0,0,0,11.458,0,1,1,3900,1142,0,0,4,1,0
0,0,0,0,15,0,1,0,1,0,0,5,25,1,0,1,0,9,2,2,1,1,7,0,0,2,0,8,0,0,40,2,0,3,0,0,1,0,0,0,0,0,7,0,0,9,1,0,0,4,0,0,3,1,0,1,0,3,0,1,1,0,1,9,13,1,1,1,0,22,6.01,0,0,0,0,Female,1,3,19,3,2,0,0,0,0,1,7,0,7,0,21,0,2,2,0,0,1,0,0,7,0,10,12,2,3,0,1,1,1,11,4,12,0,0,0,0,6,1,0,1,2,17,0,0,8,0,1,0,0,0,3,0,0,1,2,1,8,7,0,1,0,0,0,0.121319797,0.210998308,4,0,0,0,1,0.18,0,2,1,1,0,1,3,32,1,1,4,0,0,0,0,1,0,9,3,0,5,0,5,0,2,3,0,3,10,0,2,0,1,0,10,0,/talks/Julie-b-beck_why-we-are-organized-into-quorums-and-relief-societies/,6,0,0,0,1,18,0.52,2,1,2,3.128639492,22,0,3,0,3,2,8,1,0,0,1,0,6,1,0,0,0,238.05,2,0,10,5910,1530,29,0,0,0,1
0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1,1,1,1,1,0,0,7,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,24,1,0,0,1,0,19,3.65,0,0,0,5,Male,1,0,19,2,0,0,0,0,1,1,0,0,4,0,0,0,2,4,0,0,0,0,0,0,0,7,0,0,4,1,0,2,2,0,1,17,4,0,2,0,3,0,1,1,0,15,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,54,0,0,0,1,0,0.112420226,0.063328424,0,0,0,0,0,0.11,0,0,2,2,0,0,3,0,0,4,0,1,0,2,2,3,0,0,1,0,3,0,0,0,1,0,1,0,0,2,2,1,0,0,1,0,/talks/Larry-y-wilson_the-return-of-the-king/,0,0,1,0,0,16,0.53,0,1,1,2.336009174,1,1,0,0,2,0,19,0,0,1,1,3,3,0,1,1,27,84.211,1,0,3,4074,1393,6,0,0,1,0
0,0,0,0,42,1,0,0,1,0,1,0,16,0,0,0,0,4,17,3,1,0,0,0,1,0,0,4,0,0,9,0,0,1,0,0,0,1,0,0,0,0,1,1,0,7,6,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,7,5,0,0,0,0,21,4.83,0,1,0,0,Female,7,5,6,1,0,0,0,1,1,0,0,0,0,2,0,0,1,4,0,0,0,0,0,1,0,5,1,1,1,1,0,1,0,0,1,11,0,0,0,0,6,8,3,0,0,12,1,0,0,3,0,1,0,0,11,0,5,0,0,0,0,8,0,0,0,0,0,0.073101085,0.16828479,0,0,0,0,2,0.17,0,0,5,9,0,1,2,0,0,0,3,3,3,0,0,2,6,1,0,0,1,0,0,0,0,7,0,0,0,13,5,0,0,0,1,0,/talks/Lynn-g-robbins_avoid/,9,0,0,4,0,14,0.56,0,1,0,2.573738364,2,0,1,50,2,5,7,0,2,0,9,1,5,0,0,2,0,25.862,20,1,8,5253,1556,1,0,0,0,0
0,2,0,0,17,0,0,1,1,1,0,1,14,5,0,2,2,1,1,3,0,3,0,0,1,1,0,5,3,1,9,0,0,1,0,0,0,0,0,0,0,1,2,0,0,5,0,0,2,1,0,0,0,6,2,1,0,1,0,0,4,0,0,5,11,1,0,0,0,188,6.39,0,106,1,3,Female,0,3,13,6,0,1,1,0,0,6,1,0,5,1,6,1,1,1,0,0,1,0,0,3,0,3,0,1,1,0,0,0,2,2,5,17,3,0,0,1,17,2,0,0,0,8,7,4,18,3,1,0,0,0,9,0,2,0,3,2,0,8,4,0,0,0,0,0.2395947,0.086204209,0,0,2,1,0,0.11,0,0,0,5,0,1,1,0,0,0,2,2,0,1,1,7,12,1,2,0,1,0,2,0,1,1,0,1,2,0,4,0,0,0,7,0,/talks/Madison-u-sowell_measuring-flour-forgiveness/,2,0,0,0,0,23,0.49,0,0,0,2.645360825,3,0,9,0,1,5,14,1,0,0,0,0,4,0,0,0,1,124.471,0,1,2,6415,1961,11,0,0,0,1
0,0,0,9,21,1,0,0,0,0,1,0,3,0,0,0,0,1,5,0,0,1,0,0,0,0,0,2,1,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,1,0,3,2,0,0,0,1,3,0,2,0,0,10,0,0,0,1,0,20,6.01,0,1,0,2,Male,0,3,16,3,0,0,3,0,2,0,1,0,0,0,4,0,0,3,5,0,0,0,0,0,0,3,2,2,1,0,1,0,0,0,6,19,2,0,1,0,8,0,0,0,0,2,0,0,0,0,0,0,2,0,10,0,1,3,1,0,0,5,0,69,0,0,0,0.010997643,0.073317622,6,0,0,2,0,0.18,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,24,0,0,0,0,0,/talks/Neal-a-maxwell_patience/,0,1,0,0,0,12,0.52,0,4,0,2.626547455,1,0,0,1,0,1,24,0,0,1,1,1,3,0,2,2,0,2401,2,1,0,3819,1315,3,0,0,0,0
0,0,0,0,3,1,0,1,0,0,1,0,4,7,0,1,0,93,0,0,0,1,0,1,0,0,0,8,0,0,10,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,2,1,1,0,2,0,0,0,0,0,2,10,0,0,0,0,72,7.95,0,1,0,1,Male,33,3,34,2,0,0,0,0,1,0,1,0,1,2,4,0,0,7,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,1,3,25,0,0,0,1,17,9,0,0,1,11,0,0,9,1,0,0,1,0,0,0,1,2,2,0,0,5,5,0,28,0,0,0.012310398,0.057595076,1,2,0,0,0,0.23,0,1,5,0,2,0,0,3,0,0,1,1,0,0,0,0,0,0,2,0,5,0,2,0,0,1,0,0,0,0,1,2,1,0,2,0,/talks/Robert-s-patterson_patriarchal-blessing-message-identity-promise-love/,4,0,1,0,0,8,0.52,0,0,0,2.500824629,4,0,0,0,4,4,6,1,0,2,0,7,8,0,7,2,0,56.941,2,2,12,4549,1248,2,2,0,2,0
0,0,0,1,38,0,3,2,0,0,0,0,0,1,0,0,1,0,24,0,0,1,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,1,0,4,4,0,0,0,1,2,0,0,1,0,0,17,4.82,0,1,1,0,Male,0,2,19,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,2,1,0,1,0,1,94,0,0,0,0,14,0,0,0,0,11,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,776,0,1,0,0,0,0.187482993,0.092244898,0,0,0,0,5,0.17,0,2,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,/talks/a-don-sorenson_observations-law-harvest/,3,0,0,0,0,10,0.52,0,2,0,0.3675,1,0,0,0,0,1,9,0,0,0,0,0,2,0,0,0,0,408.333,0,0,0,3675,895,5,0,0,0,1
0,0,0,0,5,2,0,0,0,0,0,0,7,17,0,0,0,2,0,0,0,13,0,1,0,0,0,15,1,0,10,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,1,0,2,0,0,2,1,0,0,2,0,1,0,0,76,6,0,0,1,3,Female,0,0,6,3,1,0,1,0,1,1,2,0,0,0,7,0,1,2,0,0,0,0,0,1,0,2,0,1,1,0,1,0,4,7,7,10,0,0,0,0,17,0,0,0,0,4,1,0,3,0,0,0,0,2,3,0,0,0,2,0,0,455,1,6,0,0,0,0.109962904,0.110227875,1,1,0,0,1,0.2,0,0,0,2,0,0,3,5,0,1,0,1,3,0,1,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,26,0,/talks/a-elaine-bond_enter-learn-go-forth-serve/,5,0,0,0,0,14,0.46,0,0,0,2.846153846,4,0,1,0,0,2,14,0,0,0,1,1,3,7,3,0,0,69.444,1,1,2,3774,1266,4,0,0,0,15
0,0,0,0,4,2,0,0,0,0,1,3,10,0,0,7,1,1,0,0,0,1,0,2,0,0,0,5,0,0,29,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,3,5,0,1,0,0,216,5.59,0,0,0,6,Male,3,5,16,6,0,1,0,0,1,0,0,0,1,10,6,0,2,1,0,0,0,0,0,1,0,4,1,1,0,2,2,1,0,2,2,5,0,0,0,0,11,3,0,0,1,20,0,0,35,1,0,0,0,0,2,0,2,1,0,0,0,8,0,0,0,0,0,0.008142999,0.268123138,2,0,0,0,0,0.15,0,0,7,0,0,0,0,5,0,0,2,1,0,2,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,/talks/a-legrand-richards_gods-simple-eternal-truth/,0,0,0,0,0,14,0.43,0,0,0,2.424169475,2,0,0,0,5,11,16,0,0,0,0,6,5,0,0,0,0,19.853,1,2,2,5035,1082,5,0,0,1,1
1,0,0,0,16,0,0,1,0,0,0,0,6,1,0,1,0,4,3,0,1,4,0,0,0,0,0,4,0,0,19,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,3,0,0,0,0,76,4.03,0,0,0,0,Male,3,2,13,4,0,0,0,0,1,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,0,6,0,4,0,1,0,1,1,0,3,15,0,0,0,0,4,0,0,0,0,17,0,2,21,0,0,0,0,1,9,0,0,0,0,0,0,44,0,0,0,0,0,0.058985667,0.255237045,0,0,0,0,1,0.28,0,0,6,1,0,1,2,0,0,0,2,0,0,0,1,4,1,0,0,0,1,0,1,0,0,0,2,0,0,0,8,0,0,0,1,0,/talks/a-legrand-richards_interested-long-hereafter-brief-present/,6,0,0,0,0,5,0.5,0,0,0,2.202792957,0,0,0,0,1,16,3,5,0,0,0,2,2,0,1,0,0,14.132,0,1,1,3628,907,4,0,1,0,1
0,0,0,0,13,3,1,0,0,0,0,0,3,0,0,9,16,1,3,0,6,1,0,1,0,0,0,3,1,0,28,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,138,2.47,0,0,0,4,Male,3,7,15,11,0,0,0,0,2,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,3,5,0,0,0,0,1,2,0,0,0,16,0,0,12,1,0,0,0,0,8,0,2,0,0,2,0,18,0,0,0,0,0,0.090254333,0,1,0,0,0,0,0.16,0,0,6,0,0,0,0,5,0,0,13,4,0,2,0,1,3,0,2,2,5,0,0,0,0,1,0,0,2,0,6,0,0,0,0,0,/talks/a-legrand-richards_missionary-experiences/,6,0,0,0,0,16,0.48,0,0,0,1.969414894,4,0,5,0,3,7,7,0,0,0,0,2,9,0,0,0,0,18.278,0,0,1,4443,981,5,0,0,0,0
